Squad,Wins,Draws,Losses,Points,Goals_For,Goals_Against,Goal_Differential,Possession,Wages,pred_cluster,Satisfaction_score
Atalanta,82.35294117647058,73.52941176470588,17.647058823529413,82.35294117647058,85.29411764705883,17.647058823529413,82.35294117647058,73.52941176470588,64.70588235294117,0,17.647058823529406
Benevento,14.705882352941178,2.941176470588235,97.05882352941177,8.823529411764707,17.647058823529413,94.11764705882352,2.941176470588235,32.35294117647059,38.23529411764706,2,-29.41176470588235
Bologna,61.76470588235294,55.88235294117647,47.05882352941176,55.88235294117647,50.0,32.35294117647059,61.76470588235294,52.94117647058824,58.82352941176471,1,-2.941176470588239
Brescia,7.352941176470589,11.76470588235294,92.64705882352942,8.823529411764707,14.705882352941178,91.17647058823529,8.823529411764707,4.411764705882353,14.705882352941178,2,-5.882352941176471
Cagliari,47.05882352941176,63.23529411764706,61.76470588235294,44.11764705882353,35.294117647058826,55.88235294117647,44.11764705882353,38.23529411764706,61.76470588235294,1,-17.647058823529413
Carpi,32.35294117647059,83.82352941176471,54.41176470588235,38.23529411764706,26.47058823529412,45.588235294117645,41.17647058823529,0.0,11.76470588235294,1,26.470588235294116
Catania,64.70588235294117,48.529411764705884,41.17647058823529,64.70588235294117,47.05882352941176,35.294117647058826,55.88235294117647,,17.647058823529413,1,47.05882352941176
Cesena,0.0,95.58823529411765,79.41176470588235,2.941176470588235,22.058823529411764,79.41176470588235,17.647058823529413,20.588235294117645,0.0,5,2.941176470588235
Chievo,44.11764705882353,76.47058823529412,54.41176470588235,41.17647058823529,11.76470588235294,29.411764705882355,38.23529411764706,23.52941176470588,29.411764705882355,1,11.764705882352935
Crotone,25.0,11.76470588235294,85.29411764705883,25.0,42.64705882352941,82.35294117647058,25.0,11.76470588235294,8.823529411764707,2,16.176470588235293
Empoli,50.0,91.17647058823529,29.411764705882355,61.76470588235294,64.70588235294117,58.82352941176471,58.82352941176471,55.88235294117647,41.17647058823529,1,20.588235294117652
Fiorentina,79.41176470588235,70.58823529411765,20.588235294117645,79.41176470588235,79.41176470588235,14.705882352941178,79.41176470588235,70.58823529411765,82.35294117647058,0,-2.941176470588232
Frosinone,17.647058823529413,27.941176470588236,85.29411764705883,17.647058823529413,2.941176470588235,76.47058823529412,11.76470588235294,4.411764705882353,23.52941176470588,5,-5.8823529411764675
Genoa,55.88235294117647,83.82352941176471,38.23529411764706,58.82352941176471,38.23529411764706,26.47058823529412,64.70588235294117,47.05882352941176,79.41176470588235,1,-20.588235294117638
Hellas Verona,58.82352941176471,48.529411764705884,58.82352941176471,52.94117647058824,55.88235294117647,67.64705882352942,47.05882352941176,35.294117647058826,26.47058823529412,1,26.47058823529412
Inter,91.17647058823529,63.23529411764706,5.88235294117647,91.17647058823529,88.23529411764706,5.88235294117647,94.11764705882352,82.35294117647058,94.11764705882352,3,-2.941176470588232
Juventus,100.0,5.88235294117647,0.0,100.0,100.0,0.0,100.0,85.29411764705883,100.0,4,0.0
Lazio,88.23529411764706,22.058823529411764,14.705882352941178,85.29411764705883,94.11764705882352,20.588235294117645,88.23529411764706,67.64705882352942,85.29411764705883,3,0.0
Lecce,32.35294117647059,22.058823529411764,75.0,32.35294117647059,76.47058823529412,100.0,25.0,29.411764705882355,70.58823529411765,2,-38.235294117647065
Livorno,7.352941176470589,11.76470588235294,92.64705882352942,8.823529411764707,32.35294117647059,85.29411764705883,14.705882352941178,,2.941176470588235,2,5.882352941176471
Milan,85.29411764705883,52.94117647058824,11.76470588235294,88.23529411764706,82.35294117647058,11.76470588235294,85.29411764705883,76.47058823529412,97.05882352941177,3,-8.82352941176471
Napoli,97.05882352941177,17.647058823529413,2.941176470588235,97.05882352941177,97.05882352941177,2.941176470588235,97.05882352941177,88.23529411764706,88.23529411764706,3,8.82352941176471
Palermo,38.23529411764706,95.58823529411765,35.294117647058826,50.0,42.64705882352941,50.0,50.0,41.17647058823529,52.94117647058824,1,-2.941176470588239
Parma,52.94117647058824,63.23529411764706,50.0,47.05882352941176,52.94117647058824,61.76470588235294,52.94117647058824,17.647058823529413,55.88235294117647,1,-8.82352941176471
Pescara,7.352941176470589,0.0,100.0,0.0,0.0,97.05882352941177,0.0,,5.88235294117647,2,-5.88235294117647
Roma,94.11764705882352,42.64705882352941,8.823529411764707,94.11764705882352,91.17647058823529,8.823529411764707,91.17647058823529,79.41176470588235,91.17647058823529,3,2.941176470588232
SPAL,25.0,79.41176470588235,66.17647058823529,29.411764705882355,29.411764705882355,64.70588235294117,29.411764705882355,44.11764705882353,50.0,1,-20.588235294117645
Salernitana,20.588235294117645,63.23529411764706,75.0,25.0,5.88235294117647,88.23529411764706,5.88235294117647,8.823529411764707,47.05882352941176,5,-22.05882352941176
Sampdoria,76.47058823529412,27.941176470588236,32.35294117647059,70.58823529411765,70.58823529411765,41.17647058823529,73.52941176470588,58.82352941176471,67.64705882352942,1,2.941176470588232
Sassuolo,73.52941176470588,88.23529411764706,26.47058823529412,73.52941176470588,67.64705882352942,52.94117647058824,70.58823529411765,64.70588235294117,73.52941176470588,1,0.0
Siena,32.35294117647059,35.294117647058826,70.58823529411765,20.588235294117645,22.058823529411764,45.588235294117645,35.294117647058826,,35.294117647058826,1,-14.705882352941181
Spezia,41.17647058823529,35.294117647058826,66.17647058823529,35.294117647058826,61.76470588235294,73.52941176470588,32.35294117647059,50.0,20.588235294117645,1,14.705882352941181
Torino,70.58823529411765,100.0,23.52941176470588,76.47058823529412,73.52941176470588,23.52941176470588,76.47058823529412,61.76470588235294,76.47058823529412,0,0.0
Udinese,67.64705882352942,42.64705882352941,44.11764705882353,67.64705882352942,58.82352941176471,38.23529411764706,67.64705882352942,26.47058823529412,32.35294117647059,1,35.29411764705883
Venezia,7.352941176470589,35.294117647058826,85.29411764705883,14.705882352941178,8.823529411764707,70.58823529411765,20.588235294117645,14.705882352941178,44.11764705882353,5,-29.41176470588235
