"Cluster_Feature","Cluster_1_Value","League","Cluster_Num","Cluster_Label","1v2","2v3","3v4","4v5","5v6","3v1","4v1","5v1","6v1"
"Wins",26.22,"LaLiga",1,"1st",-0.10,-0.34,-0.28,-0.28,0.10,0.70,1.38,2.32,2.02
"Draws",6.83,"LaLiga",1,"1st",0.30,0.15,-0.02,0.33,-0.35,-0.33,-0.31,-0.48,-0.20
"Losses",4.94,"LaLiga",1,"1st",0.12,1.21,0.38,-0.01,0.23,-0.59,-0.70,-0.70,-0.76
"Points",85.50,"LaLiga",1,"1st",-0.06,-0.29,-0.23,-0.13,-0.07,0.51,0.99,1.31,1.48
"Goals_For",93.22,"LaLiga",1,"1st",-0.31,-0.16,-0.25,-0.06,0.02,0.75,1.34,1.51,1.45
"Goals_Against",34.67,"LaLiga",1,"1st",-0.21,0.70,0.16,0.06,0.15,-0.25,-0.36,-0.39,-0.47
"GDiff",58.56,"LaLiga",1,"1st",-0.37,-0.82,-3.25,0.41,0.38,8.06,-5.02,-3.83,-3.05
"Poss",61.89,"LaLiga",1,"1st",-0.20,0.05,-0.10,-0.04,0.07,0.18,0.32,0.39,0.29
"Wages",242138108.22,"LaLiga",1,"1st",-0.50,-0.60,-0.54,-0.16,-0.27,4.08,10.27,12.51,17.61
"Wins",26.00,"Bundesliga",1,"1st",-0.50,-0.28,0.86,-0.41,-0.54,1.79,0.50,1.55,4.62
"Draws",4.22,"Bundesliga",1,"1st",1.18,0.09,-0.25,0.01,0.16,-0.58,-0.43,-0.44,-0.52
"Losses",3.78,"Bundesliga",1,"1st",2.14,0.22,-0.36,0.76,0.26,-0.74,-0.58,-0.76,-0.81
"Points",82.22,"Bundesliga",1,"1st",-0.41,-0.20,0.56,-0.35,-0.40,1.16,0.38,1.15,2.61
"Goals_For",91.33,"Bundesliga",1,"1st",-0.44,-0.24,0.68,-0.36,-0.24,1.39,0.41,1.24,1.98
"Goals_Against",28.78,"Bundesliga",1,"1st",0.75,0.03,-0.17,0.29,0.24,-0.45,-0.33,-0.48,-0.58
"GDiff",62.56,"Bundesliga",1,"1st",-0.99,-1429.00,-2.46,-1.74,1.51,-5.38,1.98,-4.98,-2.58
"Poss",66.09,"Bundesliga",1,"1st",-0.26,-0.10,0.27,-0.17,-0.05,0.50,0.18,0.43,0.51
"Wages",184561016.11,"Bundesliga",1,"1st",-0.78,-0.40,1.35,-0.60,-0.50,6.63,2.23,7.13,15.29
"Wins",26.62,"Ligue1",1,"1st",-0.27,-0.21,-0.28,-0.12,-0.10,0.75,1.45,1.81,2.13
"Draws",6.00,"Ligue1",1,"1st",0.52,0.08,0.09,-0.19,-0.60,-0.39,-0.45,-0.31,0.71
"Losses",4.38,"Ligue1",1,"1st",0.96,0.37,0.30,0.17,0.21,-0.63,-0.71,-0.75,-0.80
"Points",85.88,"Ligue1",1,"1st",-0.22,-0.17,-0.21,-0.14,-0.22,0.55,0.97,1.30,1.96
"Goals_For",90.88,"Ligue1",1,"1st",-0.26,-0.26,-0.15,-0.08,-0.17,0.85,1.20,1.40,1.93
"Goals_Against",29.88,"Ligue1",1,"1st",0.41,0.04,0.16,0.15,-6.11620795107033e-03,-0.31,-0.41,-0.49,-0.48
"GDiff",61.00,"Ligue1",1,"1st",-0.59,-0.78,-2.88,1.14,0.30,10.68,-7.21,-3.89,-3.21
"Poss",63.58,"Ligue1",1,"1st",-0.12,-0.05,-0.10,-0.02,1.09890109890104e-03,0.21,0.35,0.39,0.39
"Wages",224537255.38,"Ligue1",1,"1st",-0.80,-0.59,-0.32,-0.35,-0.08,11.81,17.95,28.49,31.18
"Wins",27.20,"SerieA",1,"1st",-0.24,-0.29,-0.29,-0.42,0.17,0.87,1.65,3.62,2.94
"Draws",6.20,"SerieA",1,"1st",0.43,0.25,-0.08,-0.02,-0.34,-0.44,-0.38,-0.37,-0.04
"Losses",4.60,"SerieA",1,"1st",0.87,0.43,0.42,0.26,0.10,-0.62,-0.73,-0.79,-0.81
"Points",87.80,"SerieA",1,"1st",-0.19,-0.22,-0.25,-0.31,-0.01,0.60,1.17,2.19,2.23
"Goals_For",75.00,"SerieA",1,"1st",-0.10,-0.16,-0.23,-0.20,0.13,0.33,0.76,1.22,0.95
"Goals_Against",28.70,"SerieA",1,"1st",0.44,0.17,0.21,0.24,0.09,-0.40,-0.51,-0.60,-0.64
"GDiff",46.30,"SerieA",1,"1st",-0.43,-0.71,-3.21,1.40,0.06,5.25,-3.83,-2.17,-2.10
"Poss",56.12,"SerieA",1,"1st",-0.01,-0.05,-0.11,-0.09,0.02,0.07,0.21,0.33,0.29
"Wages",156104064.40,"SerieA",1,"1st",-0.46,-0.56,-0.32,-0.23,-0.01,3.27,5.36,7.34,7.46
"Wins",26.70,"EPL",1,"1st",-0.21,-0.38,-0.18,-0.21,-0.11,1.06,1.53,2.24,2.65
"Draws",5.50,"EPL",1,"1st",0.51,0.17,-0.19,0.43,-0.37,-0.43,-0.30,-0.51,-0.22
"Losses",5.80,"EPL",1,"1st",0.49,0.76,0.27,-0.05,0.28,-0.61,-0.70,-0.68,-0.75
"Points",85.60,"EPL",1,"1st",-0.16,-0.31,-0.18,-0.08,-0.19,0.76,1.16,1.37,1.95
"Goals_For",91.50,"EPL",1,"1st",-0.25,-0.31,-0.13,-0.13,-0.08,0.94,1.23,1.59,1.83
"Goals_Against",33.10,"EPL",1,"1st",0.24,0.28,0.16,-0.05,0.21,-0.37,-0.46,-0.43,-0.53
"GDiff",58.40,"EPL",1,"1st",-0.53,-1.21,2.56,0.10,0.66,-10.93,-3.78,-3.52,-2.51
"Poss",64.77,"EPL",1,"1st",-0.11,-0.18,8.49076629165764e-04,-0.11,0.03,0.37,0.37,0.55,0.49
"Wages",175535752.60,"EPL",1,"1st",-0.14,-0.55,-0.27,0.09,-0.20,1.66,2.68,2.37,3.26
"Wins",23.56,"LaLiga",2,"2nd",-0.10,-0.34,-0.28,-0.28,0.10,0.70,1.38,2.32,2.02
"Draws",8.89,"LaLiga",2,"2nd",0.30,0.15,-0.02,0.33,-0.35,-0.33,-0.31,-0.48,-0.20
"Losses",5.56,"LaLiga",2,"2nd",0.12,1.21,0.38,-0.01,0.23,-0.59,-0.70,-0.70,-0.76
"Points",79.56,"LaLiga",2,"2nd",-0.06,-0.29,-0.23,-0.13,-0.07,0.51,0.99,1.31,1.48
"Goals_For",63.67,"LaLiga",2,"2nd",-0.31,-0.16,-0.25,-0.06,0.02,0.75,1.34,1.51,1.45
"Goals_Against",27.33,"LaLiga",2,"2nd",-0.21,0.70,0.16,0.06,0.15,-0.25,-0.36,-0.39,-0.47
"GDiff",36.33,"LaLiga",2,"2nd",-0.37,-0.82,-3.25,0.41,0.38,8.06,-5.02,-3.83,-3.05
"Poss",49.21,"LaLiga",2,"2nd",-0.20,0.05,-0.10,-0.04,0.07,0.18,0.32,0.39,0.29
"Wages",120236610.00,"LaLiga",2,"2nd",-0.50,-0.60,-0.54,-0.16,-0.27,4.08,10.27,12.51,17.61
"Wins",12.91,"Bundesliga",2,"2nd",-0.50,-0.28,0.86,-0.41,-0.54,1.79,0.50,1.55,4.62
"Draws",9.21,"Bundesliga",2,"2nd",1.18,0.09,-0.25,0.01,0.16,-0.58,-0.43,-0.44,-0.52
"Losses",11.88,"Bundesliga",2,"2nd",2.14,0.22,-0.36,0.76,0.26,-0.74,-0.58,-0.76,-0.81
"Points",47.94,"Bundesliga",2,"2nd",-0.41,-0.20,0.56,-0.35,-0.40,1.16,0.38,1.15,2.61
"Goals_For",50.58,"Bundesliga",2,"2nd",-0.44,-0.24,0.68,-0.36,-0.24,1.39,0.41,1.24,1.98
"Goals_Against",50.57,"Bundesliga",2,"2nd",0.75,0.03,-0.17,0.29,0.24,-0.45,-0.33,-0.48,-0.58
"GDiff",0.01,"Bundesliga",2,"2nd",-0.99,-1429.00,-2.46,-1.74,1.51,-5.38,1.98,-4.98,-2.58
"Poss",48.70,"Bundesliga",2,"2nd",-0.26,-0.10,0.27,-0.17,-0.05,0.50,0.18,0.43,0.51
"Wages",40447486.33,"Bundesliga",2,"2nd",-0.78,-0.40,1.35,-0.60,-0.50,6.63,2.23,7.13,15.29
"Wins",19.21,"Ligue1",2,"2nd",-0.27,-0.21,-0.28,-0.12,-0.10,0.75,1.45,1.81,2.13
"Draws",9.17,"Ligue1",2,"2nd",0.52,0.08,0.09,-0.19,-0.60,-0.39,-0.45,-0.31,0.71
"Losses",8.62,"Ligue1",2,"2nd",0.96,0.37,0.30,0.17,0.21,-0.63,-0.71,-0.75,-0.80
"Points",66.75,"Ligue1",2,"2nd",-0.22,-0.17,-0.21,-0.14,-0.22,0.55,0.97,1.30,1.96
"Goals_For",66.71,"Ligue1",2,"2nd",-0.26,-0.26,-0.15,-0.08,-0.17,0.85,1.20,1.40,1.93
"Goals_Against",42.17,"Ligue1",2,"2nd",0.41,0.04,0.16,0.15,-6.11620795107033e-03,-0.31,-0.41,-0.49,-0.48
"GDiff",24.54,"Ligue1",2,"2nd",-0.59,-0.78,-2.88,1.14,0.30,10.68,-7.21,-3.89,-3.21
"Poss",55.42,"Ligue1",2,"2nd",-0.12,-0.05,-0.10,-0.02,1.09890109890104e-03,0.21,0.35,0.39,0.39
"Wages",43283211.75,"Ligue1",2,"2nd",-0.80,-0.59,-0.32,-0.35,-0.08,11.81,17.95,28.49,31.18
"Wins",20.48,"SerieA",2,"2nd",-0.24,-0.29,-0.29,-0.42,0.17,0.87,1.65,3.62,2.94
"Draws",8.88,"SerieA",2,"2nd",0.43,0.25,-0.08,-0.02,-0.34,-0.44,-0.38,-0.37,-0.04
"Losses",8.64,"SerieA",2,"2nd",0.87,0.43,0.42,0.26,0.10,-0.62,-0.73,-0.79,-0.81
"Points",70.32,"SerieA",2,"2nd",-0.19,-0.22,-0.25,-0.31,-0.01,0.60,1.17,2.19,2.23
"Goals_For",67.42,"SerieA",2,"2nd",-0.10,-0.16,-0.23,-0.20,0.13,0.33,0.76,1.22,0.95
"Goals_Against",41.36,"SerieA",2,"2nd",0.44,0.17,0.21,0.24,0.09,-0.40,-0.51,-0.60,-0.64
"GDiff",26.06,"SerieA",2,"2nd",-0.43,-0.71,-3.21,1.40,0.06,5.25,-3.83,-2.17,-2.10
"Poss",55.31,"SerieA",2,"2nd",-0.01,-0.05,-0.11,-0.09,0.02,0.07,0.21,0.33,0.29
"Wages",83654128.76,"SerieA",2,"2nd",-0.46,-0.56,-0.32,-0.23,-0.01,3.27,5.36,7.34,7.46
"Wins",21.00,"EPL",2,"2nd",-0.21,-0.38,-0.18,-0.21,-0.11,1.06,1.53,2.24,2.65
"Draws",8.34,"EPL",2,"2nd",0.51,0.17,-0.19,0.43,-0.37,-0.43,-0.30,-0.51,-0.22
"Losses",8.66,"EPL",2,"2nd",0.49,0.76,0.27,-0.05,0.28,-0.61,-0.70,-0.68,-0.75
"Points",71.34,"EPL",2,"2nd",-0.16,-0.31,-0.18,-0.08,-0.19,0.76,1.16,1.37,1.95
"Goals_For",68.48,"EPL",2,"2nd",-0.25,-0.31,-0.13,-0.13,-0.08,0.94,1.23,1.59,1.83
"Goals_Against",41.36,"EPL",2,"2nd",0.24,0.28,0.16,-0.05,0.21,-0.37,-0.46,-0.43,-0.53
"GDiff",27.12,"EPL",2,"2nd",-0.53,-1.21,2.56,0.10,0.66,-10.93,-3.78,-3.52,-2.51
"Poss",57.56,"EPL",2,"2nd",-0.11,-0.18,8.49076629165764e-04,-0.11,0.03,0.37,0.37,0.55,0.49
"Wages",149431367.18,"EPL",2,"2nd",-0.14,-0.55,-0.27,0.09,-0.20,1.66,2.68,2.37,3.26
"Wins",15.39,"LaLiga",3,"3rd",-0.10,-0.34,-0.28,-0.28,0.10,0.70,1.38,2.32,2.02
"Draws",10.28,"LaLiga",3,"3rd",0.30,0.15,-0.02,0.33,-0.35,-0.33,-0.31,-0.48,-0.20
"Losses",12.33,"LaLiga",3,"3rd",0.12,1.21,0.38,-0.01,0.23,-0.59,-0.70,-0.70,-0.76
"Points",56.44,"LaLiga",3,"3rd",-0.06,-0.29,-0.23,-0.13,-0.07,0.51,0.99,1.31,1.48
"Goals_For",53.11,"LaLiga",3,"3rd",-0.31,-0.16,-0.25,-0.06,0.02,0.75,1.34,1.51,1.45
"Goals_Against",46.65,"LaLiga",3,"3rd",-0.21,0.70,0.16,0.06,0.15,-0.25,-0.36,-0.39,-0.47
"GDiff",6.46,"LaLiga",3,"3rd",-0.37,-0.82,-3.25,0.41,0.38,8.06,-5.02,-3.83,-3.05
"Poss",52.11,"LaLiga",3,"3rd",-0.20,0.05,-0.10,-0.04,0.07,0.18,0.32,0.39,0.29
"Wages",47610331.72,"LaLiga",3,"3rd",-0.50,-0.60,-0.54,-0.16,-0.27,4.08,10.27,12.51,17.61
"Wins",9.29,"Bundesliga",3,"3rd",-0.50,-0.28,0.86,-0.41,-0.54,1.79,0.50,1.55,4.62
"Draws",10.12,"Bundesliga",3,"3rd",1.18,0.09,-0.25,0.01,0.16,-0.58,-0.43,-0.44,-0.52
"Losses",14.59,"Bundesliga",3,"3rd",2.14,0.22,-0.36,0.76,0.26,-0.74,-0.58,-0.76,-0.81
"Points",38.00,"Bundesliga",3,"3rd",-0.41,-0.20,0.56,-0.35,-0.40,1.16,0.38,1.15,2.61
"Goals_For",38.12,"Bundesliga",3,"3rd",-0.44,-0.24,0.68,-0.36,-0.24,1.39,0.41,1.24,1.98
"Goals_Against",52.40,"Bundesliga",3,"3rd",0.75,0.03,-0.17,0.29,0.24,-0.45,-0.33,-0.48,-0.58
"GDiff",-14.28,"Bundesliga",3,"3rd",-0.99,-1429.00,-2.46,-1.74,1.51,-5.38,1.98,-4.98,-2.58
"Poss",43.81,"Bundesliga",3,"3rd",-0.26,-0.10,0.27,-0.17,-0.05,0.50,0.18,0.43,0.51
"Wages",24158422.42,"Bundesliga",3,"3rd",-0.78,-0.40,1.35,-0.60,-0.50,6.63,2.23,7.13,15.29
"Wins",15.14,"Ligue1",3,"3rd",-0.27,-0.21,-0.28,-0.12,-0.10,0.75,1.45,1.81,2.13
"Draws",9.99,"Ligue1",3,"3rd",0.52,0.08,0.09,-0.19,-0.60,-0.39,-0.45,-0.31,0.71
"Losses",11.88,"Ligue1",3,"3rd",0.96,0.37,0.30,0.17,0.21,-0.63,-0.71,-0.75,-0.80
"Points",55.37,"Ligue1",3,"3rd",-0.22,-0.17,-0.21,-0.14,-0.22,0.55,0.97,1.30,1.96
"Goals_For",49.08,"Ligue1",3,"3rd",-0.26,-0.26,-0.15,-0.08,-0.17,0.85,1.20,1.40,1.93
"Goals_Against",43.86,"Ligue1",3,"3rd",0.41,0.04,0.16,0.15,-6.11620795107033e-03,-0.31,-0.41,-0.49,-0.48
"GDiff",5.22,"Ligue1",3,"3rd",-0.59,-0.78,-2.88,1.14,0.30,10.68,-7.21,-3.89,-3.21
"Poss",52.41,"Ligue1",3,"3rd",-0.12,-0.05,-0.10,-0.02,1.09890109890104e-03,0.21,0.35,0.39,0.39
"Wages",17526575.85,"Ligue1",3,"3rd",-0.80,-0.59,-0.32,-0.35,-0.08,11.81,17.95,28.49,31.18
"Wins",14.53,"SerieA",3,"3rd",-0.24,-0.29,-0.29,-0.42,0.17,0.87,1.65,3.62,2.94
"Draws",11.10,"SerieA",3,"3rd",0.43,0.25,-0.08,-0.02,-0.34,-0.44,-0.38,-0.37,-0.04
"Losses",12.37,"SerieA",3,"3rd",0.87,0.43,0.42,0.26,0.10,-0.62,-0.73,-0.79,-0.81
"Points",54.60,"SerieA",3,"3rd",-0.19,-0.22,-0.25,-0.31,-0.01,0.60,1.17,2.19,2.23
"Goals_For",56.03,"SerieA",3,"3rd",-0.10,-0.16,-0.23,-0.20,0.13,0.33,0.76,1.22,0.95
"Goals_Against",48.63,"SerieA",3,"3rd",0.44,0.17,0.21,0.24,0.09,-0.40,-0.51,-0.60,-0.64
"GDiff",7.40,"SerieA",3,"3rd",-0.43,-0.71,-3.21,1.40,0.06,5.25,-3.83,-2.17,-2.10
"Poss",52.15,"SerieA",3,"3rd",-0.01,-0.05,-0.11,-0.09,0.02,0.07,0.21,0.33,0.29
"Wages",36527407.27,"SerieA",3,"3rd",-0.46,-0.56,-0.32,-0.23,-0.01,3.27,5.36,7.34,7.46
"Wins",12.92,"EPL",3,"3rd",-0.21,-0.38,-0.18,-0.21,-0.11,1.06,1.53,2.24,2.65
"Draws",9.82,"EPL",3,"3rd",0.51,0.17,-0.19,0.43,-0.37,-0.43,-0.30,-0.51,-0.22
"Losses",15.26,"EPL",3,"3rd",0.49,0.76,0.27,-0.05,0.28,-0.61,-0.70,-0.68,-0.75
"Points",48.59,"EPL",3,"3rd",-0.16,-0.31,-0.18,-0.08,-0.19,0.76,1.16,1.37,1.95
"Goals_For",47.15,"EPL",3,"3rd",-0.25,-0.31,-0.13,-0.13,-0.08,0.94,1.23,1.59,1.83
"Goals_Against",53.03,"EPL",3,"3rd",0.24,0.28,0.16,-0.05,0.21,-0.37,-0.46,-0.43,-0.53
"GDiff",-5.88,"EPL",3,"3rd",-0.53,-1.21,2.56,0.10,0.66,-10.93,-3.78,-3.52,-2.51
"Poss",47.11,"EPL",3,"3rd",-0.11,-0.18,8.49076629165764e-04,-0.11,0.03,0.37,0.37,0.55,0.49
